municipality_name_source,color,match_type,matched_raw,evidence_status,source_id
Scuol,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sierre,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sigriswil,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sion,vert,alias_fusion_ancienne_commune_ou_localite,Bramois,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Solothurn,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Spiez,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
St. Gallen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
St. Moritz,vert,normalisation_exacte,St. Moritz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Sursee,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Surses,vert,normalisation_exacte,Surses,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Teufen (AR),rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Thun,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Tujetsch,vert,alias_fusion_ancienne_commune_ou_localite,Tavetsch,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Unterseen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Unterägeri,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Uster,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Uzwil,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Val Müstair,vert,normalisation_exacte,Val Müstair,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Val de Bagnes,vert,alias_fusion_ancienne_commune_ou_localite,Bagnes,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Vals,vert,normalisation_exacte,Vals,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Vaz/Obervaz,vert,normalisation_exacte,Vaz/Obervaz,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Vernier,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Vevey,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Visp,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Vitznau,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Walenstadt,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Weggis,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Wil (SG),rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Wilderswil,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Wildhaus-Alt St. Johann,vert,alias_fusion_ancienne_commune_ou_localite,Alt St. Johann,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Winterthur,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Wädenswil,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Yverdon-les-Bains,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Zermatt,vert,normalisation_exacte,Zermatt,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Zernez,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Zofingen,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Zug,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
Zürich,rouge,,,legacy_name_overlap_only_no_resort_id_or_exposure_weights,LOCAL_430fe06a9598
