resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,documented_membership_events,current_official_destination_candidates,identity_scope_score,lift_assignment_score,geolocation_score,tourism_exposure_score,hotel_outcome_score,membership_history_score,infrastructure_feature_score,snow_climate_score,data_quality_score,causal_ready,data_quality_warnings
pizol_bad_ragaz_wangs,Pizol - Bad Ragaz - Wangs,SKI_CLUSTER_038,3291,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
rinerhorn_davos_rinerhorn,Rinerhorn Davos Rinerhorn,SKI_CLUSTER_006,3851,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
samnaun_silvretta_arena_samnaun_ischgl,Samnaun Silvretta Arena Samnaun / Ischgl,SKI_CLUSTER_011,3752,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
savognin,Savognin,SKI_CLUSTER_043,3543,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
schatzalp_davos_schatzalp_strela,Schatzalp Davos Schatzalp - Strela,SKI_CLUSTER_006,3851,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
schilt_mollis,Schilt Mollis,SKI_CLUSTER_146,1630,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
schilthorn_jungfrau_ski_region_murren_schilthorn,Schilthorn Jungfrau Ski Region Mürren - Schilthorn,SKI_CLUSTER_010,584,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
schnabelsberg_einsiedeln,Schnabelsberg Einsiedeln,SKI_CLUSTER_079,1301,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
seebodenalp_kussnacht_am_rigi,Seebodenalp - Küssnacht am Rigi,SKI_CLUSTER_040,1331,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
splugen_rheinwald,Splügen Rheinwald,SKI_CLUSTER_084,3714,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
stoos,Stoos,SKI_CLUSTER_013,1366,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
survih_samedan,Survih - Samedan,SKI_CLUSTER_022,3786,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
toggenburg_chaserrugg_alt_st_johann_unterwasser,Toggenburg - Chäserrugg Alt St. Johann Unterwasser,SKI_CLUSTER_030,3359,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
tschiertschen,Tschiertschen,SKI_CLUSTER_098,3901,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
val_ferret_la_fouly,Val Ferret - La Fouly,SKI_CLUSTER_104,6034,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
vals,Vals,SKI_CLUSTER_097,3603,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
valtgeva_druni_kidsarena_sedrun,Valtgeva Druni KidsArena Sedrun,SKI_CLUSTER_017,3986,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
verbier_4_vallees,Verbier 4 Vallées,SKI_CLUSTER_002,6037,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
veysonnaz_4_vallees,Veysonnaz 4 Vallées,SKI_CLUSTER_002,6024,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
wengen_jungfrau_ski_region_grindelwald_wengen,Wengen Jungfrau Ski Region Grindelwald - Wengen,SKI_CLUSTER_010,576,0,0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,50.0,False,independent_destination_scope_unverified|tourism_exposure_unverified|snow_data_missing|membership_history_unverified
