resort_id,resort_name_canonical,cluster_id,point_municipality_bfs_id,point_municipality_name,point_municipality_canton,selection_status,bfs_hotel_universe,bfs_hotel_municipality_name,assignment_quality,identity_status,relationship_type,tourism_exposure_interpretation,source_id,usable_for_descriptive_point_merge,usable_as_causal_exposure_without_review
tschiertschen,Tschiertschen,SKI_CLUSTER_098,3901,Chur,GR,unique_current_polygon,True,Chur,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
vals,Vals,SKI_CLUSTER_097,3603,Vals,GR,unique_current_polygon,True,Vals,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
valtgeva_druni_kidsarena_sedrun,Valtgeva Druni KidsArena Sedrun,SKI_CLUSTER_017,3986,Tujetsch,GR,unique_current_polygon,True,Tujetsch,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
zuoz,Zuoz,SKI_CLUSTER_087,3791,Zuoz,GR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
brot_plamboz,Brot - Plamboz,SKI_CLUSTER_157,6433,Brot-Plamboz,NE,unique_current_polygon,False,,warning,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
chapeau_rable_la_chaux_de_fonds,Chapeau Rablé La Chaux - de - Fonds,SKI_CLUSTER_159,6421,La Chaux-de-Fonds,NE,unique_current_polygon,True,La Chaux-de-Fonds,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
cret_meuron,Crêt - Meuron,SKI_CLUSTER_126,6487,Val-de-Ruz,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
cote_aux_fees_la_cote_aux_fees,Côte - aux - Fées La Côte - aux - Fées,SKI_CLUSTER_156,6504,La Côte-aux-Fées,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
la_brevine,La Brévine,SKI_CLUSTER_102,6432,La Brévine,NE,unique_current_polygon,False,,review,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
la_corbatiere_la_roche_des_crocs,La Corbatière - La Roche - des - Crocs,SKI_CLUSTER_126,6421,La Chaux-de-Fonds,NE,unique_current_polygon,True,La Chaux-de-Fonds,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
la_robella,La Robella,SKI_CLUSTER_102,6512,Val-de-Travers,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
le_chaluet,Le Chaluet,SKI_CLUSTER_133,690,Court,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
le_paquier_cret_du_puy,Le Pâquier Crêt - du - Puy,SKI_CLUSTER_042,6487,Val-de-Ruz,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
les_breuleux,Les Breuleux,SKI_CLUSTER_162,448,Villeret,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
les_bugnenets_savagnieres,Les Bugnenets - Savagnières,SKI_CLUSTER_042,443,Saint-Imier,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
les_genevez,Les Genevez,SKI_CLUSTER_168,6748,Les Genevez (JU),JU,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
les_loges,Les Loges,SKI_CLUSTER_126,6487,Val-de-Ruz,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
les_verrieres,Les Verrières,SKI_CLUSTER_155,6511,Les Verrières,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
nods_chasseral,Nods - Chasseral,SKI_CLUSTER_166,724,Nods,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
pres_d_orvin_les_pres_d_orvin,Prés - d'Orvin Les Prés - d'Orvin,SKI_CLUSTER_130,438,Orvin,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
saint_imier_mont_soleil,Saint - Imier - Mont Soleil,SKI_CLUSTER_161,443,Saint-Imier,BE,unique_current_polygon,False,,warning,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
sommartel_le_locle,Sommartel Le Locle,SKI_CLUSTER_157,6436,Le Locle,NE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
sous_le_mont,Sous le Mont,SKI_CLUSTER_170,713,Tavannes,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
tramelan,Tramelan,SKI_CLUSTER_128,437,Mont-Tramelan,BE,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
attinghausen_brusti_attinghausen,Attinghausen Brüsti - Attinghausen,SKI_CLUSTER_021,1203,Attinghausen,UR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
bennau_einsiedeln,Bennau Einsiedeln,SKI_CLUSTER_079,1301,Einsiedeln,SZ,unique_current_polygon,True,Einsiedeln,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
biel_kinzig,Biel - Kinzig,SKI_CLUSTER_021,1205,Bürglen (UR),UR,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
brunni_haggenegg,Brunni - Haggenegg,SKI_CLUSTER_013,1361,Alpthal,SZ,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
brunni_brunni_bahnen_engelberg,Brunni Brunni - Bahnen Engelberg,SKI_CLUSTER_003,1402,Engelberg,OW,unique_current_polygon,True,Engelberg,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,True,False
brunni_skilift_brunni,Brunni Skilift Brunni,SKI_CLUSTER_013,1361,Alpthal,SZ,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
dallenwil_wirzweli,Dallenwil - Wirzweli,SKI_CLUSTER_003,1503,Dallenwil,NW,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
engelberg_titlis,Engelberg Titlis,SKI_CLUSTER_003,1511,Wolfenschiessen,NW,unique_current_polygon,False,,confident,provisional_existing_listing_not_independent_domain,coordinate_container_only,not_established,GEOADMIN_MUNICIPALITY_IDENTIFY,False,False
