cluster_id,display_name,cluster_quality,assignment_quality,map_quality,naming_status,station_count,station_names,lift_count,expected_lifts_total,cluster_uncertain,cluster_uncertainty_reasons,cluster_review_reasons,cluster_warning_reasons,cluster_info_flags,assignment_uncertain,assignment_uncertain_count,assignment_warning_count,assignment_review_count,max_assignment_distance_m,nearest_cluster_id,nearest_cluster_m,bbox_diag_m,cluster_distance_threshold_m
SKI_CLUSTER_030,Toggenburg - Chäserrugg Alt St. Johann Unterwasser / Toggenburg Wildhaus,confident,confident,confident,multiple_names,2,Toggenburg - Chäserrugg Alt St. Johann Unterwasser | Toggenburg Wildhaus,15,20.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,19.6,SKI_CLUSTER_148,4032.4,8348.3,3000.0
SKI_CLUSTER_038,Tristeli St. Margarethenberg / Mastrils Skilift Mastrils / Pizol - Bad Ragaz - Wangs,confident,confident,confident,multiple_names,3,Tristeli St. Margarethenberg | Mastrils Skilift Mastrils | Pizol - Bad Ragaz - Wangs,12,14.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,539.3,,,12076.2,3000.0
SKI_CLUSTER_040,Seebodenalp - Küssnacht am Rigi / Rigi,confident,confident,confident,multiple_names,2,Seebodenalp - Küssnacht am Rigi | Rigi,11,11.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,1189.5,SKI_CLUSTER_204,3730.2,10772.5,3000.0
SKI_CLUSTER_041,Trelasse La Trélasse / La Dôle Jura sur Léman,warning,confident,warning,multiple_names,2,Trelasse La Trélasse | La Dôle Jura sur Léman,10,23.0,True,close_to_named_cluster,,close_to_named_cluster,,False,0,0,0,263.7,SKI_CLUSTER_100,3265.6,3701.4,3000.0
SKI_CLUSTER_042,Le Pâquier Crêt - du - Puy / Les Bugnenets - Savagnières,warning,confident,warning,multiple_names,2,Le Pâquier Crêt - du - Puy | Les Bugnenets - Savagnières,10,11.0,True,close_to_named_cluster,,close_to_named_cluster,cluster_lift_count_supported_by_bergfex,False,0,0,0,139.7,SKI_CLUSTER_161,3125.2,5492.5,3000.0
SKI_CLUSTER_046,Schwanden - Sigriswil Thunersee / Beatenberg - Niederhorn / Habkern,confident,confident,confident,multiple_names,3,Schwanden - Sigriswil Thunersee | Beatenberg - Niederhorn | Habkern,9,11.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,555.9,SKI_CLUSTER_136,3855.5,11420.9,3000.0
SKI_CLUSTER_051,Schwarzenbühl Selital / Gantrisch - Gurnigel / Ottenleuebad +3,confident,review,review,multiple_names,6,Schwarzenbühl Selital | Gantrisch - Gurnigel | Ottenleuebad | Rüschegg - Eywald | Riffenmatt | Gurten Bern,8,11.0,False,,,,cluster_lift_count_supported_by_bergfex,True,1,0,1,17678.6,SKI_CLUSTER_178,3720.2,8531.1,3000.0
SKI_CLUSTER_055,Ebenalp - Horn / Brülisau Brülisau - Leugangen,warning,confident,warning,multiple_names,2,Ebenalp - Horn | Brülisau Brülisau - Leugangen,8,8.0,True,close_to_named_cluster,,close_to_named_cluster,cluster_lift_count_supported_by_bergfex,False,0,0,0,14.7,SKI_CLUSTER_083,3470.1,10915.1,3000.0
SKI_CLUSTER_058,Rothwald - Wasenalp am Simplon / Rosswald,confident,confident,confident,multiple_names,2,Rothwald - Wasenalp am Simplon | Rosswald,7,8.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,33.1,SKI_CLUSTER_009,4464.4,6074.6,3000.0
SKI_CLUSTER_059,Airolo - Pesciüm Airolo - Pesciüm / Airolo - Lüina,confident,confident,confident,multiple_names,2,Airolo - Pesciüm Airolo - Pesciüm | Airolo - Lüina,7,11.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,500.2,,,4157.8,3000.0
SKI_CLUSTER_060,Tenna / Sarn - Heinzenberg / Tschappina Tschappina - Urmein - Heinzenberg,confident,confident,confident,multiple_names,3,Tenna | Sarn - Heinzenberg | Tschappina Tschappina - Urmein - Heinzenberg,7,13.0,False,,,,cluster_lift_count_supported_by_bergfex,False,0,0,0,300.9,,,8808.3,3000.0
