official_destination_id,official_destination_name,official_destination_path,official_regions,official_region_codes,official_coordinate_count,official_latitude_first,official_longitude_first,candidate_resort_id,entity_resolution_method,entity_resolution_status,current_member_snapshot,snapshot_retrieval_date,source_id,source_url,source_sha256,resort_name_canonical,cluster_id
1803,Rosswald,/fr/stations/rosswald-1803,Valais,VS,1,46.31421652,8.025641201,rosswald,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Rosswald,SKI_CLUSTER_058
2777,Rüschegg,/fr/stations/ruschegg-2777,Berne,BE,1,46.7601739,7.42033292,ruschegg_eywald,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Rüschegg - Eywald,SKI_CLUSTER_051
5714,Saas-Almagell,/fr/stations/saas-almagell-5714,Valais,VS,1,46.09246551070663,7.957737561663128,saas_almagell,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Saas Almagell,SKI_CLUSTER_015
600,Saas-Fee,/fr/stations/saas-fee-600,Valais,VS,1,46.105734,7.927827,saas_fee,unique_normalised_label,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Saas - Fee,SKI_CLUSTER_015
3611,Saint-Cergue,/fr/stations/saint-cergue-3611,Vaud,VD,1,46.445758,6.154970,st_cergue,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,St. Cergue,SKI_CLUSTER_100
3613,San Domenico,/fr/stations/san-domenico-3613,Italie,Italie,1,46.24988362,8.188426467,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
5568,Sattel-Hochstuckli,/fr/stations/sattel-hochstuckli-5568,Schwytz,SZ,1,47.078793216268664,8.634472145142489,,no_candidate,unresolved,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,,
3587,Schwanden,/fr/stations/schwanden-3587,Berne,BE,1,46.73293075,7.731344743,schwanden_sigriswil_thunersee,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Schwanden - Sigriswil Thunersee,SKI_CLUSTER_046
32,Schwarzsee,/fr/stations/schwarzsee-32,Fribourg,FR,1,46.67120709,7.289721952,schwarzsee_kaiseregg_bahnen,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Schwarzsee Kaiseregg Bahnen,SKI_CLUSTER_093
2778,Selital,/fr/stations/selital-2778,Berne,BE,1,46.74105304,7.391357726,schwarzenbuhl_selital,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Schwarzenbühl Selital,SKI_CLUSTER_051
1360,Springenboden,/fr/stations/springenboden-1360,Berne,BE,1,46.61885759,7.575690509,springenboden_diemtigtal,reviewed_alias,candidate_match_scope_pending,True,2026-09-19T23:17:26.501601+00:00,MAGIC_CURRENT_MAP,https://www.magicpass.ch/fr/stations/map,7982ed874329de9524620805622c0742e65e9082674a98a13a6567ff05244def,Springenboden Diemtigtal,SKI_CLUSTER_063
