event_id,source_id,source_resort_name,event_type,entry_season,candidate_resort_id,resort_name_canonical,cluster_id,entity_resolution_method,entity_resolution_status,entity_resolution_confidence,point_municipality_bfs_id,point_municipality_name,bfs_hotel_municipality_name,bfs_hotel_universe,treatment_ready,treatment_blocker
MAGIC_EVENT_aa489c4d1dbf,MAGIC_2023,Bumbach,base_pass_entry,2023/2024,bumbach_schangnau,Bumbach - Schangnau,SKI_CLUSTER_074,reviewed_alias,candidate_match_scope_pending,medium,906,Schangnau,Schangnau,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_8a425e7da33a,MAGIC_2023,Egg Ottenleue,base_pass_entry,2023/2024,ottenleuebad,Ottenleuebad,SKI_CLUSTER_051,reviewed_alias,candidate_match_scope_pending,medium,852,Guggisberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_78b01e8fe359,MAGIC_2023,Eischoll,base_pass_entry,2023/2024,eischoll_sportbahnen_eischoll,Eischoll Sportbahnen Eischoll,SKI_CLUSTER_012,reviewed_alias,candidate_match_scope_pending,medium,6194,Eischoll,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_d89311569829,MAGIC_2023,Gantrisch Gurnigel,base_pass_entry,2023/2024,gantrisch_gurnigel,Gantrisch - Gurnigel,SKI_CLUSTER_051,unique_normalised_label,candidate_match_scope_pending,medium,880,Rüeggisberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_07fff5595b85,MAGIC_2023,Gspon,base_pass_entry,2023/2024,staldenried_gspon,Staldenried - Gspon,SKI_CLUSTER_012,reviewed_alias,candidate_match_scope_pending,medium,6294,Staldenried,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_9cea75ff3c9b,MAGIC_2023,Gurnigelbad,base_pass_entry,2023/2024,,,,no_candidate,unresolved,low,,,,,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_2343a1c8d7ef,MAGIC_2023,Kiental,base_pass_entry,2023/2024,kiental,Kiental,SKI_CLUSTER_137,unique_normalised_label,candidate_match_scope_pending,medium,567,Reichenbach im Kandertal,Reichenbach im Kandertal,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f10447287134,MAGIC_2023,Lauchernalp-Lötschental,base_pass_entry,2023/2024,lauchernalp_lotschental,Lauchernalp - Lötschental,SKI_CLUSTER_073,unique_normalised_label,candidate_match_scope_pending,medium,6202,Wiler (Lötschen),,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_4faf78bfd4f9,MAGIC_2023,Marbachegg,base_pass_entry,2023/2024,marchbachegg_marbach_marbachegg,Marchbachegg Marbach - Marbachegg,SKI_CLUSTER_074,reviewed_alias,candidate_match_scope_pending,medium,1010,Escholzmatt-Marbach,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f928d8739e99,MAGIC_2023,Moosalp,base_pass_entry,2023/2024,moosalpregion,Moosalpregion,SKI_CLUSTER_012,reviewed_alias,candidate_match_scope_pending,medium,6296,Törbel,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_09b1c4a832f5,MAGIC_2023,Riffenmatt,base_pass_entry,2023/2024,riffenmatt,Riffenmatt,SKI_CLUSTER_051,unique_normalised_label,candidate_match_scope_pending,medium,852,Guggisberg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_f0e602dbefe9,MAGIC_2023,Rüschegg - Eywald,base_pass_entry,2023/2024,ruschegg_eywald,Rüschegg - Eywald,SKI_CLUSTER_051,unique_normalised_label,candidate_match_scope_pending,medium,853,Rüschegg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_5b325b76233f,MAGIC_2023,Sainte-Croix - Les Rasses,base_pass_entry,2023/2024,sainte_croix_les_rasses,Sainte Croix - Les Rasses,SKI_CLUSTER_050,unique_normalised_label,candidate_match_scope_pending,medium,5552,Bullet,Bullet,True,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
MAGIC_EVENT_2404d124a89b,MAGIC_2023,Selital,base_pass_entry,2023/2024,schwarzenbuhl_selital,Schwarzenbühl Selital,SKI_CLUSTER_051,reviewed_alias,candidate_match_scope_pending,medium,853,Rüschegg,,False,False,"Destination scope, continuity/exit audit, and municipality exposure are not all approved"
